iso3,entity_type,pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,dim_size_maturity,size,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness,ranking_detail
ATG,pais,Antigua and Barbuda,2023,0-100,3_pillars_10_dims,39.41080516,33.3277412,27.56336344,57.34131085,0.0,47.164,41.91,44.2369648,25.66069549,,25.66069549,26.99802287,30.03137196,31.90466667,56.99236111,83.12690476,
ARG,pais,Argentina,2023,0-100,3_pillars_10_dims,57.72417372,70.3106345,35.27354733,67.58833933,100.0,69.384,63.78,48.07853802,25.46482429,,25.46482429,36.81198051,43.5438372,55.06285132,75.74716667,71.955,
ARM,pais,Armenia,2023,0-100,3_pillars_10_dims,45.21531546,43.49707296,33.5797623,58.56911111,0.0,50.374,66.48333333,57.13095849,23.71577906,,23.71577906,36.75492679,40.26858105,52.369,54.46333333,68.875,
AUS,pais,Australia,2023,0-100,3_pillars_10_dims,73.8886426,83.34456114,52.56753446,85.75383219,100.0,92.334,76.20333333,64.84091121,35.45768629,,35.45768629,57.80931864,64.43559846,71.32762478,87.9138718,98.02,
AUT,pais,Austria,2023,0-100,3_pillars_10_dims,72.36579509,77.69341556,56.42848466,82.97548506,100.0,69.538,77.04666667,64.18899559,45.5713216,,45.5713216,63.18950954,60.52462283,65.36678717,85.05966802,98.5,
AZE,pais,Azerbaijan,2023,0-100,3_pillars_10_dims,48.15205153,55.86333383,30.77101949,57.82180128,50.0,51.702,66.54666667,55.20466864,14.26532818,,14.26532818,42.81723191,35.23049838,55.041,49.37440385,69.05,
BHS,pais,Bahamas,2023,0-100,3_pillars_10_dims,42.14236214,34.49440787,31.42678539,60.50589316,0.0,45.554,51.65333333,40.77029813,26.07809476,,26.07809476,26.99802287,41.20423854,35.89466667,56.09467949,89.52833333,
BHR,pais,Bahrain,2023,0-100,3_pillars_10_dims,56.13114214,57.96471785,39.24259746,71.18611111,50.0,53.772,73.38,54.70687139,30.02674824,,30.02674824,42.64357361,45.05747051,57.41,73.49333333,82.655,
BGD,pais,Bangladesh,2023,0-100,3_pillars_10_dims,46.04283084,57.95661768,26.0675415,54.10433333,100.0,29.534,63.91666667,38.37580404,11.34959724,,11.34959724,41.80690984,25.04611743,41.628,58.03,62.655,
BRB,pais,Barbados,2023,0-100,3_pillars_10_dims,40.13321614,33.52950016,32.86938687,54.0007614,0.0,39.818,43.1,51.20000063,26.85951228,,26.85951228,29.06067961,42.68796871,34.57866667,54.75528419,72.66833333,
BLR,pais,Belarus,2023,0-100,3_pillars_10_dims,39.20286213,30.9496063,32.27575146,54.38322863,0.0,38.274,48.44666667,37.07775855,21.87567967,,21.87567967,35.1135353,39.83803941,33.72515385,62.30953205,67.115,
BEL,pais,Belgium,2023,0-100,3_pillars_10_dims,67.28440384,73.09341424,56.02002736,72.73976993,100.0,69.41,64.86586207,58.09779487,46.02519509,,46.02519509,64.59416196,57.44072503,61.91533408,70.66897571,85.635,
BLZ,pais,Belize,2023,0-100,3_pillars_10_dims,34.2435614,23.44365412,29.09223307,50.19479701,0.0,22.418,36.25666667,35.0999498,21.74881432,,21.74881432,28.27301133,37.25487357,23.68179487,52.77092949,74.13166667,
BEN,pais,Benin,2023,0-100,3_pillars_10_dims,41.37191592,61.38112188,24.46194488,38.27268101,100.0,53.212,50.10333333,42.20915417,8.860523162,,8.860523162,34.06107972,30.46423176,18.032,31.68604304,65.1,
BTN,pais,Bhutan,2023,0-100,3_pillars_10_dims,36.87905685,36.81041879,24.30580176,49.52095,0.0,42.788,59.46933333,44.98434184,15.32854542,,15.32854542,28.40723936,29.18162052,25.7756,61.51225,61.275,
BOL,pais,Bolivia (Plurinational State of),2023,0-100,3_pillars_10_dims,35.25033938,28.46542784,26.65614801,50.62944231,0.0,37.588,41.45666667,34.81704467,16.33974676,,16.33974676,29.51366296,34.1150343,24.106,61.83232692,65.95,
BIH,pais,Bosnia and Herzegovina,2023,0-100,3_pillars_10_dims,36.48814846,27.92111151,31.68001337,49.86332051,0.0,43.928,33.29666667,34.45977938,19.12880779,,19.12880779,33.74272029,42.16851202,28.349,50.77596154,70.465,
BWA,pais,Botswana,2023,0-100,3_pillars_10_dims,38.83923461,34.81869108,29.19940165,52.49961111,0.0,54.892,37.46666667,46.91609765,17.18542027,,17.18542027,37.94821144,32.46457325,45.594,45.58983333,66.315,
BRA,pais,Brazil,2023,0-100,3_pillars_10_dims,63.69915943,72.44400137,45.08217867,73.57129826,100.0,69.28,72.02666667,48.4693388,34.01476445,,34.01476445,49.71430175,51.51746982,62.36976017,71.01413462,87.33,
BRN,pais,Brunei Darussalam,2023,0-100,3_pillars_10_dims,48.09942959,39.56559268,41.86059269,62.87210342,0.0,32.214,61.40866667,64.63970404,30.31294433,,30.31294433,41.44442528,53.82440846,46.07733333,61.94897692,80.59,
BGR,pais,Bulgaria,2023,0-100,3_pillars_10_dims,58.64499758,66.0432174,38.16577789,71.72599743,100.0,55.916,62.25,46.00686961,26.54014367,,26.54014367,47.16880638,40.78838363,61.19478717,75.98820513,77.995,
BFA,pais,Burkina Faso,2023,0-100,3_pillars_10_dims,27.49699619,27.03774441,18.19615014,37.25709402,0.0,43.596,37.93333333,26.62164431,7.563603045,,7.563603045,30.27923836,16.74560901,14.33,43.88128205,53.56,
BDI,pais,Burundi,2023,0-100,3_pillars_10_dims,20.87315154,18.44359423,16.21387179,27.9619886,0.0,10.986,32.11666667,30.67171024,4.660410723,,4.660410723,30.08807829,13.89312634,13.33109091,25.91396581,44.64090909,
CPV,pais,Cabo Verde,2023,0-100,3_pillars_10_dims,36.29975864,36.68031634,27.2354392,44.9835204,0.0,48.348,55.66666667,42.70659867,20.45387233,,20.45387233,30.44209797,30.8103473,23.52927273,40.43128846,70.99,
KHM,pais,Cambodia,2023,0-100,3_pillars_10_dims,31.87722576,27.93028698,22.53351441,45.1678759,0.0,35.744,47.68,28.29714791,12.95223379,,12.95223379,32.54406194,22.1042475,24.962,41.13162769,69.41,
CMR,pais,Cameroon,2023,0-100,3_pillars_10_dims,30.27139432,30.90777318,22.07029072,37.83611905,0.0,40.926,36.96,45.74509273,10.56843497,,10.56843497,32.62018052,23.02225667,20.932,28.74135714,63.835,
CAN,pais,Canada,2023,0-100,3_pillars_10_dims,77.0688933,85.30357359,64.72864875,81.17445757,100.0,91.974,78.7,70.54029435,52.77895078,,52.77895078,74.13829934,67.26869613,72.79443683,78.3639359,92.365,
CAF,pais,Central African Republic,2023,0-100,3_pillars_10_dims,19.73651251,13.51276137,17.639778,28.05699816,0.0,9.928,17.4325,26.69054548,5.825954146,,5.825954146,28.72806242,18.36531742,12.73225758,19.10282782,52.33590909,
TCD,pais,Chad,2023,0-100,3_pillars_10_dims,23.43794877,21.10354983,16.65135829,32.55893819,0.0,37.568,21.22666667,25.61953264,6.80059234,,6.80059234,26.49034497,16.66313755,30.12509091,22.91081458,44.64090909,
CHL,pais,Chile,2023,0-100,3_pillars_10_dims,61.94839002,74.56044472,40.90759979,70.37712556,100.0,71.566,66.02,60.65577888,34.71854948,,34.71854948,38.55926999,49.44497991,58.968,74.70837667,77.455,
CHN,pais,China,2023,0-100,3_pillars_10_dims,70.94344937,77.31729699,60.75880711,74.75424402,100.0,70.386,82.28666667,56.59652127,57.24815484,,57.24815484,70.08047884,54.94778765,76.89282079,60.23991128,87.13,
COL,pais,Colombia,2023,0-100,3_pillars_10_dims,57.85276011,74.97882258,35.27909665,63.30036111,100.0,73.984,67.73333333,58.19795699,21.29245811,,21.29245811,38.27319275,46.27163909,49.834,62.64708333,77.42,
COM,pais,Comoros,2023,0-100,3_pillars_10_dims,22.61922755,15.8680246,20.65962344,31.33003462,0.0,12.464,21.57625,29.43184842,12.37134684,,12.37134684,30.02334797,19.58417551,18.96914773,31.45595614,43.565,
COG,pais,Congo,2023,0-100,3_pillars_10_dims,24.19288771,22.49830238,19.68339649,30.39696425,0.0,30.88177778,27.61291667,31.49851508,12.28712898,,12.28712898,31.32473948,15.43832101,16.70914773,23.38174503,51.1,
CRI,pais,Costa Rica,2023,0-100,3_pillars_10_dims,49.12279778,53.40935286,33.20184604,60.75719444,50.0,60.05,56.17,47.41741143,27.93706415,,27.93706415,37.27744608,34.39102788,33.76933333,70.20558333,78.29666667,
CIV,pais,Côte D'Ivoire,2023,0-100,3_pillars_10_dims,32.78138909,34.33496487,20.28364685,43.72555556,0.0,61.284,43.80333333,32.25252613,10.87541308,,10.87541308,29.31894674,20.65658074,24.43,45.05166667,61.695,
HRV,pais,Croatia,2023,0-100,3_pillars_10_dims,49.34199305,42.25299153,39.3484966,66.424491,0.0,62.946,60.88333333,45.18263279,26.43442558,,26.43442558,43.56736289,48.04370133,55.79810526,57.88852564,85.58684211,
CUB,pais,Cuba,2023,0-100,3_pillars_10_dims,35.52053817,35.32477317,27.08680364,44.15003771,50.0,20.872,26.73666667,43.69042599,21.53887493,,21.53887493,35.66766946,24.05386652,20.79046154,40.12112217,71.53852941,
CYP,pais,Cyprus,2023,0-100,3_pillars_10_dims,60.84003033,69.39278065,42.03522701,71.09208333,100.0,64.244,59.00666667,54.32045594,32.46887807,,32.46887807,51.41670759,42.22009538,57.72210526,64.57730263,90.97684211,
CZE,pais,Czechia,2023,0-100,3_pillars_10_dims,65.17046981,72.24619197,47.71963502,75.54558245,100.0,64.594,66.76333333,57.62743456,35.53706669,,35.53706669,53.41785558,54.20398279,66.05489243,79.84001282,80.74184211,
PRK,pais,Democratic People's Republic of Korea,2023,0-100,3_pillars_10_dims,9.197129779,8.033125,14.26928998,5.288974359,0.0,3.2875,8.045,20.8,0.0,,0.0,19.52087269,23.28699725,1.693333333,8.884615385,,
COD,pais,Democratic Republic of the Congo,2023,0-100,3_pillars_10_dims,21.46831729,18.3617308,16.38773762,29.65548344,0.0,30.42,22.15666667,20.87025655,2.467995807,,2.467995807,31.30828322,15.38693383,9.328,21.44345032,58.195,
DNK,pais,Denmark,2023,0-100,3_pillars_10_dims,73.91202307,84.10504957,59.97736792,77.65365171,100.0,92.24,73.69252874,70.48766956,43.15928508,,43.15928508,69.18180714,67.59101153,69.354,75.71695513,87.89,
DJI,pais,Djibouti,2023,0-100,3_pillars_10_dims,29.94791011,19.42602515,29.49982191,40.91788326,0.0,11.586,32.47142857,33.64667202,21.40953033,,21.40953033,34.39934861,32.6905868,21.27657143,32.12350692,69.35357143,
DMA,pais,Dominica,2023,0-100,3_pillars_10_dims,34.81908485,27.9676065,24.5147719,51.97487617,0.0,35.36,31.15333333,45.35709266,21.36048819,,21.36048819,28.27301133,23.91081616,31.12579487,50.99363756,73.80519608,
DOM,pais,Dominican Republic,2023,0-100,3_pillars_10_dims,50.71305278,68.0707076,25.34291441,58.72553632,100.0,56.534,59.23,56.51883038,14.79332912,,14.79332912,28.88172928,32.35368484,47.714,56.71760897,71.745,
ECU,pais,Ecuador,2023,0-100,3_pillars_10_dims,40.83861731,36.12999086,27.81724569,58.56861538,0.0,43.54,61.73666667,39.24329677,19.77466553,,19.77466553,34.88957727,28.78749427,45.39933333,56.82984615,73.47666667,
EGY,pais,Egypt,2023,0-100,3_pillars_10_dims,52.6929229,68.19483702,40.11272227,49.7712094,100.0,70.456,61.12333333,41.20001475,19.20924447,,19.20924447,49.87457281,51.25434953,29.242,43.7966282,76.275,
SLV,pais,El Salvador,2023,0-100,3_pillars_10_dims,32.57680248,23.7020413,26.30654392,47.72182222,0.0,29.34,42.13333333,23.33483188,18.75927581,,18.75927581,31.19753139,28.96282455,25.336,49.28446667,68.545,
GNQ,pais,Equatorial Guinea,2023,0-100,3_pillars_10_dims,28.04104529,19.94348723,26.18799974,37.99164889,0.0,27.652,19.44333333,32.67861557,17.96813985,,17.96813985,34.1206411,26.47521828,18.387,25.21394667,70.374,
ERI,pais,Eritrea,2023,0-100,3_pillars_10_dims,19.6242147,9.732261371,19.49345554,29.64692719,0.0,3.346,9.025833333,26.55721215,7.440244938,,7.440244938,30.02945393,21.01066774,12.74025758,20.9391149,55.26140909,
EST,pais,Estonia,2023,0-100,3_pillars_10_dims,70.86482958,80.53692617,52.52231257,79.53525,100.0,70.936,80.95333333,70.25837134,35.3758747,,35.3758747,70.79207888,51.39898414,61.936,86.20475,90.465,
SWZ,pais,Eswatini,2023,0-100,3_pillars_10_dims,27.05304403,23.799385,18.21332986,39.14641722,0.0,25.846,34.60333333,34.74820668,13.29601503,,13.29601503,30.49145625,10.8525183,18.21927273,33.69497893,65.525,
ETH,pais,Ethiopia,2023,0-100,3_pillars_10_dims,32.58526198,37.29089283,20.3517131,40.11318002,50.0,27.548,38.37,33.24557131,6.05896413,,6.05896413,35.39690612,19.59926906,34.86,26.28954007,59.19,
FJI,pais,Fiji,2023,0-100,3_pillars_10_dims,41.56883237,37.77972643,35.12379391,51.80297679,0.0,24.976,64.6025,61.54040571,23.28931117,,23.28931117,48.71549469,33.36657586,31.8275,51.83143036,71.75,
FIN,pais,Finland,2023,0-100,3_pillars_10_dims,77.36514132,88.34366826,60.3587057,83.39305001,100.0,92.676,84.34,76.35867306,44.03826542,,44.03826542,73.42928581,63.60856585,73.49580791,81.7915,94.89184211,
FRA,pais,France,2023,0-100,3_pillars_10_dims,76.0747579,84.02516926,60.39946081,83.79964363,100.0,88.72,84.91666667,62.46401037,51.03749126,,51.03749126,65.88204237,64.27884879,78.36534114,78.99858974,94.035,
GAB,pais,Gabon,2023,0-100,3_pillars_10_dims,33.09015799,25.12177778,27.67372141,46.47497479,0.0,35.956,31.78666667,32.74444445,17.68372403,,17.68372403,36.72342413,28.61401606,27.944,38.56092436,72.92,
GMB,pais,Gambia (Republic of The),2023,0-100,3_pillars_10_dims,30.25153776,25.13474146,20.80682182,44.81305,0.0,43.424,26.14333333,30.97163251,5.05484583,,5.05484583,29.93214351,27.43347613,43.19909091,37.29915,53.94090909,
GEO,pais,Georgia,2023,0-100,3_pillars_10_dims,41.26650193,41.96144773,30.33331235,51.50474573,0.0,60.374,52.47666667,54.99512423,20.15055186,,20.15055186,33.92907094,36.92031425,31.69115385,53.68808333,69.135,
DEU,pais,Germany,2023,0-100,3_pillars_10_dims,75.26152044,80.78397038,63.28455505,81.7160359,100.0,91.202,74.99,56.9438815,53.96278314,,53.96278314,72.96841689,62.92246512,78.6049859,75.0431218,91.5,
GHA,pais,Ghana,2023,0-100,3_pillars_10_dims,32.58404214,34.65649919,23.22690501,39.86872222,0.0,58.178,48.36,32.08799674,8.321492619,,8.321492619,42.40686408,18.95235833,25.302,37.39916667,56.905,
GRC,pais,Greece,2023,0-100,3_pillars_10_dims,57.94965354,55.91992617,48.36844044,69.56059402,50.0,64.436,60.41,48.83370468,36.41697689,,36.41697689,46.93352243,61.75482198,52.552,72.95478205,83.175,
GRD,pais,Grenada,2023,0-100,3_pillars_10_dims,34.63095618,27.7656065,25.47711555,50.65014649,0.0,26.242,38.53,46.29042599,21.69957881,,21.69957881,29.57440284,25.15736501,30.61379487,47.53144852,73.80519608,
GTM,pais,Guatemala,2023,0-100,3_pillars_10_dims,35.75753858,29.55088346,24.94384552,52.77788675,0.0,39.386,40.02333333,38.79420052,16.2208932,,16.2208932,31.00725023,27.60339314,44.424,44.72966026,69.18,
GIN,pais,Guinea,2023,0-100,3_pillars_10_dims,27.44381327,26.65264147,19.98545863,35.69333971,0.0,35.626,33.87333333,37.11123256,7.294576275,,7.294576275,33.45495511,19.20684452,20.66527273,28.05974641,58.355,
GNB,pais,Guinea Bissau,2023,0-100,3_pillars_10_dims,24.11485899,15.31492804,18.80869571,38.22095322,0.0,15.13,17.9725,28.15721215,9.089030727,,9.089030727,28.72806242,18.60899397,18.01025758,31.99169299,64.66090909,
GUY,pais,Guyana,2023,0-100,3_pillars_10_dims,36.7932748,30.6172412,27.18568739,52.57689581,0.0,44.262,40.70333333,37.50363146,17.73930798,,17.73930798,29.06067961,34.7570746,29.22866667,41.16868744,87.33333333,
HTI,pais,Haiti,2023,0-100,3_pillars_10_dims,21.97179066,8.924944199,22.89019916,34.10022863,0.0,11.28,12.82111111,11.59866568,11.2123406,,11.2123406,30.77859024,26.67966664,14.062,25.9886859,62.25,
HND,pais,Honduras,2023,0-100,3_pillars_10_dims,32.63199659,25.75036011,30.13924221,42.00638744,0.0,36.52,25.82777778,40.65366266,17.86006104,,17.86006104,40.96661142,31.59105418,15.772,42.50216231,67.745,
HUN,pais,Hungary,2023,0-100,3_pillars_10_dims,60.66027035,69.95734828,42.20108879,69.82237397,100.0,61.576,65.58666667,52.66672645,32.44165721,,32.44165721,46.86941751,47.29219166,58.69085132,70.89127058,79.885,
ISL,pais,Iceland,2023,0-100,3_pillars_10_dims,69.5940496,76.20868237,52.77752625,79.79594017,100.0,66.882,73.2,64.75272947,34.33698507,,34.33698507,71.24533249,52.75026119,65.55010526,83.70587314,90.13184211,
IND,pais,India,2023,0-100,3_pillars_10_dims,62.57800735,75.1759559,49.38818431,63.16988184,100.0,79.5,69.44666667,51.75715692,33.34569581,,33.34569581,62.92308831,51.89576881,51.72290884,61.75173667,76.035,
IDN,pais,Indonesia,2023,0-100,3_pillars_10_dims,61.03492368,76.24230135,43.48299533,63.37947436,100.0,70.376,72.5,62.09320539,27.87303998,,27.87303998,52.015458,50.56048801,51.948,59.42542308,78.765,
IRN,pais,Iran (Islamic Republic of),2023,0-100,3_pillars_10_dims,42.07324885,31.56491493,38.77360939,55.88122222,0.0,44.012,53.4,28.84765972,23.65041261,,23.65041261,47.05338788,45.61702768,49.372,54.38166667,63.89,
IRQ,pais,Iraq,2023,0-100,3_pillars_10_dims,33.39561913,28.8555,29.06845995,42.26289744,50.0,25.622,19.8,20.0,17.02192057,,17.02192057,55.59899573,14.58446355,17.33666667,47.41202564,62.04,
IRL,pais,Ireland,2023,0-100,3_pillars_10_dims,69.82192222,71.51255972,56.95748759,80.99571936,100.0,69.532,60.80666667,55.71157222,53.12953395,,53.12953395,56.5637029,61.17922593,65.84890884,77.63824923,99.5,
ISR,pais,Israel,2023,0-100,3_pillars_10_dims,65.4642356,53.67519243,66.29290327,76.42461111,0.0,75.706,76.20666667,62.78810304,49.70093316,,49.70093316,89.8094334,59.36834325,67.758,73.01916667,88.49666667,
ITA,pais,Italy,2023,0-100,3_pillars_10_dims,67.62584509,76.6065863,50.97617739,75.29477158,100.0,85.546,69.89333333,50.98701186,40.33922246,,40.33922246,52.84488071,59.744429,67.29914807,74.57516667,84.01,
JAM,pais,Jamaica,2023,0-100,3_pillars_10_dims,41.31633222,48.00813521,28.41451317,47.52634829,50.0,49.626,42.81333333,49.59320752,22.46104148,,22.46104148,31.75105269,31.03144533,27.456,42.34304487,72.78,
JPN,pais,Japan,2023,0-100,3_pillars_10_dims,75.07579217,82.76466261,56.85336145,85.60935244,100.0,89.404,73.06333333,68.59131709,38.39971926,,38.39971926,68.33440672,63.82595839,79.911224,90.99183333,85.925,
JOR,pais,Jordan,2023,0-100,3_pillars_10_dims,56.8468117,67.56283902,40.61756831,62.36002778,100.0,61.672,64.17333333,44.40602275,21.39705106,,21.39705106,51.56771839,48.88793549,48.148,63.42208333,75.51,
KAZ,pais,Kazakhstan,2023,0-100,3_pillars_10_dims,48.55608275,48.56343216,30.9745383,66.13027778,0.0,54.31,75.68333333,64.26039531,16.72887883,,16.72887883,37.80230814,38.39242792,50.8,74.94583333,72.645,
KEN,pais,Kenya,2023,0-100,3_pillars_10_dims,40.18580433,40.02697704,28.94708919,51.58334675,0.0,53.98,61.65333333,44.47457483,13.19815527,,13.19815527,48.80027311,24.84283918,46.644,44.44104026,63.665,
KIR,pais,Kiribati,2023,0-100,3_pillars_10_dims,27.40464502,25.73842624,16.64475501,39.8307538,0.0,26.088,33.19066667,43.67503831,10.27567505,,10.27567505,30.60389698,9.054692998,21.1884,31.15795231,67.14590909,
KWT,pais,Kuwait,2023,0-100,3_pillars_10_dims,49.85706104,38.14337835,40.57694365,70.85086111,0.0,53.09,54.91666667,44.56684673,33.59270703,,33.59270703,38.13682867,50.00129524,55.298,71.12458333,86.13,
KGZ,pais,Kyrgyzstan,2023,0-100,3_pillars_10_dims,34.09800116,33.53303728,22.86179952,45.89916667,0.0,44.528,43.00333333,46.60081578,12.93548235,,12.93548235,26.87430541,28.7756108,23.326,53.2865,61.085,
LAO,pais,Lao People's Democratic Republic,2023,0-100,3_pillars_10_dims,33.05352563,28.39222624,25.80687843,44.96147222,0.0,33.468,38.34,41.76090495,18.02332351,,18.02332351,34.60766484,24.78964695,22.522,42.22241667,70.14,
LVA,pais,Latvia,2023,0-100,3_pillars_10_dims,60.30099482,72.06941292,38.56784977,70.26572177,100.0,67.856,63.62,56.80165168,28.91867498,,28.91867498,42.42061061,44.36426371,59.42810526,69.23721795,82.13184211,
LBN,pais,Lebanon,2023,0-100,3_pillars_10_dims,47.61870616,50.555506,36.99444359,55.30616889,100.0,39.048,39.49666667,23.67735734,15.89696409,,15.89696409,44.92619113,50.16017554,45.088,53.93550667,66.895,
LSO,pais,Lesotho,2023,0-100,3_pillars_10_dims,26.20904086,25.41368604,20.45978938,32.75364715,0.0,39.536,27.03666667,35.08207751,10.25861893,,10.25861893,32.16631044,18.95443878,14.23927273,22.41166872,61.61,
LBR,pais,Liberia,2023,0-100,3_pillars_10_dims,22.24370998,19.2801873,19.90410165,27.54684101,0.0,17.944,29.64916667,29.52758252,7.440244938,,7.440244938,32.20731603,20.06474397,13.16716667,15.60835636,53.865,
LBY,pais,Libya,2023,0-100,3_pillars_10_dims,25.31129372,10.0215,28.10232561,37.81005556,0.0,11.836,12.75,15.5,18.16478524,,18.16478524,53.00429974,13.13789186,5.336666667,49.9835,58.11,
LIE,pais,Liechtenstein,2023,0-100,3_pillars_10_dims,52.63448412,41.37579375,47.78149671,68.74616189,0.0,59.03,45.3991954,61.07397959,40.62657477,,40.62657477,51.88643357,50.8314818,43.70458802,74.66222795,87.87166969,
LTU,pais,Lithuania,2023,0-100,3_pillars_10_dims,63.33225365,75.30598873,43.70352222,70.98725,100.0,69.026,72.09,60.10795492,30.87657735,,30.87657735,55.48141239,44.75257692,61.468,61.72875,89.765,
LUX,pais,Luxembourg,2023,0-100,3_pillars_10_dims,69.40775632,83.11109411,46.50816245,78.60401239,100.0,72.962,86.57333333,72.90904311,36.15405191,,36.15405191,56.67407496,46.69636047,72.08089243,74.78930263,88.94184211,
MDG,pais,Madagascar,2023,0-100,3_pillars_10_dims,28.47313128,25.00503139,19.27536061,41.13900185,0.0,40.226,32.33666667,27.4574589,7.512931484,,7.512931484,28.83763911,21.47551124,34.97,27.65200556,60.795,
MWI,pais,Malawi,2023,0-100,3_pillars_10_dims,24.8675796,22.00016384,20.49032924,32.11224573,0.0,34.686,25.94333333,27.37132201,9.309456745,,9.309456745,32.76692051,19.39461046,13.462,28.69473718,54.18,
MYS,pais,Malaysia,2023,0-100,3_pillars_10_dims,68.7072292,79.98717379,54.13015271,72.00436111,100.0,72.172,78.46333333,69.31336184,34.31719796,,34.31719796,61.52516848,66.54809169,59.03,74.21808333,82.765,
MDV,pais,Maldives,2023,0-100,3_pillars_10_dims,31.71139837,31.71375,20.79336455,42.62708056,0.0,26.99,52.465,47.4,24.38794956,,24.38794956,16.82024129,21.17190281,52.81666667,61.474575,13.59,
MLI,pais,Mali,2023,0-100,3_pillars_10_dims,27.44682921,24.70630087,19.11590336,38.51828339,0.0,35.908,34.44,28.47720349,10.39378755,,10.39378755,27.95128405,19.00263849,19.316,37.13385017,59.105,
MLT,pais,Malta,2023,0-100,3_pillars_10_dims,63.64436289,80.73570142,40.89060948,69.30677778,100.0,83.73,76.57666667,62.63613902,32.88891926,,32.88891926,46.24476026,43.53814893,61.352,63.60166667,82.96666667,
MHL,pais,Marshall Islands,2023,0-100,3_pillars_10_dims,35.70297129,30.24989309,32.26151194,44.59750884,0.0,23.82,38.03916667,59.14040571,28.34981216,,28.34981216,45.69375717,22.74096649,22.4295,33.83719318,77.52583333,
